DivisionNm,upto50k,50to99k,100to150k,150kplus,18to34,35to49,50to64,65plus,female,male,englishonly,nonenglish,christian,noreligion,notertiary,tafe,university
McEwen,5623,36015,10647,5623,32815,35152,28084,21265,80801,79087,127556,25340,69123,67430,8390,41735,29467
Melbourne,15439,52964,20021,15439,100573,40576,22874,17308,101559,98410,114188,72018,46987,108587,16072,27059,100304
Menzies,9557,35253,12062,9557,35359,34765,33081,35123,89005,83846,90405,76877,75751,68994,8702,31027,56269
Monash,3293,27121,5753,3293,24666,24142,30841,36765,74883,71468,129986,7095,59059,72480,11878,41233,19473
Nicholls,2669,30840,5538,2669,30159,27021,32282,35850,80000,79509,131544,16208,74766,61355,14525,40129,16911
Scullin,2351,35768,6797,2351,41556,37126,28445,24010,85498,84897,75286,86788,82830,35242,10014,35641,31387
Wannon,3485,31467,5914,3485,27083,26160,33216,37033,77714,76844,137470,6161,69708,68580,12975,40252,21065
Wills,6965,38120,13092,6965,48637,36069,23845,21426,81096,77216,95531,55638,58201,64119,9070,27272,54361
Blair,2744,40641,8106,2744,44624,37486,32205,26003,95955,93989,160014,18069,85874,81507,12503,52729,21362
Bonner,7766,37057,12937,7766,33934,36502,29149,25280,83459,79425,121271,35899,79192,63213,7825,36728,42633
Bowman,5095,35648,9454,5095,28056,30427,32761,33300,81498,77727,141607,11835,78951,67660,8801,48362,24051
Brisbane,17763,47261,18232,17763,66399,40621,29021,19317,92237,91020,140323,33591,74005,84715,11872,34230,74145
Capricornia,6190,30639,10633,6190,34487,31303,30935,25293,78011,81784,135107,8144,79398,58100,17029,41242,16454
Dawson,5397,33956,9983,5397,34647,31775,32586,26845,80096,81985,135094,11728,80830,60045,15498,43610,18456
Dickson,6012,37395,11281,6012,32429,34233,30366,23411,80662,78905,140402,14003,77922,68724,6961,44353,30022
Fadden,5496,41456,9455,5496,42544,38589,35627,34690,100202,94416,155747,27325,85835,83731,14034,54959,30167
Fairfax,5277,36008,8402,5277,29675,33242,34186,36366,87937,81533,150378,10412,73234,79858,11504,48933,31214
Fisher,5116,36085,8433,5116,32773,31976,33736,37808,89519,82661,152874,10537,75891,79652,11970,50172,29418
Flynn,5266,28053,9667,5266,30783,30613,32741,25442,77766,80918,136827,7697,75051,63211,15551,42198,13247
Forde,2992,41244,7852,2992,46250,38902,31434,26661,98792,94551,154134,26920,82115,83587,13590,53849,21893
Griffith,14380,44501,17643,14380,58414,40582,28068,18774,90780,86810,133983,34803,72588,81457,10733,33901,66770
Groom,3558,34366,7731,3558,34706,28691,28364,30287,83197,77671,137383,15178,89711,51854,10169,41590,25329
Herbert,3698,38301,9102,3698,41954,31781,29045,22749,82738,81309,137454,13748,77770,66891,13518,42727,23317
Hinkler,2282,25433,4842,2282,24593,24323,32281,44801,80821,75739,139368,7976,76705,63963,12914,43856,16147
Kennedy,3282,31544,8048,3282,33816,30606,34658,32064,84011,87392,138101,15147,84238,61633,18504,43292,15487
Leichhardt,4176,35738,8876,4176,37106,36263,35149,26890,88573,87048,125859,32482,76536,71914,18390,46563,26971
Lilley,6898,39447,13247,6898,39588,35640,27238,25488,82842,78720,129719,25196,76604,64794,8826,38949,41105
Longman,2702,36680,7167,2702,39020,33867,33908,36550,95091,91490,163809,11554,81661,86054,12596,55970,17782
Maranoa,2805,26897,5457,2805,27540,25225,31477,33180,75875,75547,131789,5725,84954,47963,15681,37530,13787
McPherson,5486,35988,9172,5486,34098,34299,29757,30771,85643,77965,137166,18049,73961,73387,11706,44566,32333
Moncrieff,6622,38604,8722,6622,45933,35553,34102,36075,93016,89128,136093,32419,78793,76422,17335,48386,37535
Moreton,7237,36516,11430,7237,45773,36496,27017,23658,84858,83616,100457,60842,65090,69287,9323,31579,53777
Oxley,4266,38969,9698,4266,44911,40692,30373,21643,93200,93316,116176,57825,79652,65297,10111,41871,34040
Petrie,4684,40609,9949,4684,37271,38690,32192,33618,96101,89184,149896,27197,87153,74293,11092,50405,29968
Rankin,2334,36908,6684,2334,43483,39654,29940,23071,94401,92452,115039,59615,77689,68424,12765,43032,27705
Ryan,13360,34934,14959,13360,41041,35138,26702,23994,83367,80434,130004,28920,70806,74821,6737,28155,62102
Wide Bay,3354,25186,5139,3354,21963,25310,34992,40512,76871,75366,136092,5767,67241,68213,13152,43951,18605
Wright,3695,37887,8423,3695,35028,36505,35689,28437,91387,90275,159046,12069,83495,78850,12139,52216,20786
Adelaide,8373,45848,12289,8373,59300,40151,32571,30980,99379,98241,118480,70728,73789,79294,10953,36994,62592
Barker,2811,33410,5666,2811,30444,29528,36691,39622,85087,86597,149959,10033,70460,81714,13539,44913,15615
Boothby,7375,41453,12004,7375,38168,34002,32464,38240,91268,84355,138771,31529,71180,83137,8343,38978,50676
Grey,3263,31265,6997,3263,30770,28439,37526,39170,84624,86860,148871,9597,70366,81253,15488,43733,14247
Hindmarsh,4704,40960,9761,4704,37980,32973,34911,35036,88465,84066,126449,39957,81617,68381,9095,42916,34760
Kingston,2132,37829,6836,2132,34415,32458,32018,32121,84740,81370,146082,14170,59842,91734,8503,49651,22978
Makin,2350,39315,7478,2350,38494,34732,31386,31920,87443,86318,126383,40772,69551,71801,8318,45370,27487
Mayo,5390,35814,9278,5390,27574,30830,36842,42406,88675,85054,158912,7369,64114,94935,10463,48227,32641
Spence,1471,34872,4681,1471,45449,35425,33107,27083,95019,93202,142501,35418,66420,89390,12050,46537,14113
Sturt,9174,42704,12325,9174,40159,37064,33801,39296,96716,90636,124276,57405,84683,72071,8704,35778,59763
Brand,5517,37117,12040,5517,41682,37992,31355,23634,90975,90571,149187,20865,70508,88787,12454,52755,19323
Burt,3396,38422,8851,3396,42510,40749,28298,23271,91615,90718,116105,55709,70882,65840,12103,44731,26690
Canning,5933,28538,10511,5933,29124,28852,31108,34697,81752,78193,138997,11547,67669,75499,12085,46851,16141
Cowan,4117,38433,9256,4117,42351,36538,32432,30017,90932,89247,108238,62443,82041,57951,11712,43159,30140
Curtin,21343,35014,15864,21343,38581,35111,30790,32066,89421,83620,136913,28698,73690,78377,10267,28014,68640
Durack,9982,38321,15649,9982,44052,42685,39541,27187,96523,104921,151157,21894,76552,85797,27510,50174,19911
Forrest,5310,31030,9696,5310,26970,31384,31725,31231,80181,77818,136986,11256,63257,78176,11708,45600,20429
Fremantle,8576,38347,13894,8576,38311,36657,30536,25462,85202,81582,127670,31209,71457,76425,10626,40929,39307
Hasluck,6667,38491,11812,6667,38062,36965,31437,25461,87397,87342,135282,29311,72403,75115,10791,47600,26839
Moore,10608,35589,14134,10608,29287,33350,34323,29808,82942,81170,141710,17418,77679,73209,8263,43146,37751
O'Connor,5842,34177,10909,5842,32340,32433,37689,34902,85785,90288,145037,13141,68003,82359,19245,44126,18122
Pearce,5872,39293,11844,5872,40586,39211,30018,20250,90442,87063,138285,31434,75342,78375,10161,49386,24791
Perth,12723,43853,17185,12723,52652,41642,30663,27322,91775,90157,126392,45189,69586,79715,13187,38365,60057
Swan,9379,43914,14011,9379,55212,39876,30745,28133,94696,95172,124871,53251,72008,75212,14806,42405,49901
Tangney,11667,37484,14321,11667,35972,38220,34504,34202,94068,89890,121643,55133,80920,68584,9068,37188,54778
Bass,2168,22000,4183,2168,23949,19229,21592,22987,56024,53949,94958,9380,42654,54126,7694,27404,18389
Braddon,1708,20822,3986,1708,20438,18291,23271,25247,56132,53421,99113,4341,42779,55814,8489,30132,11694
Clark,3615,25688,6147,3615,30946,20822,19626,20080,57059,54689,85174,21543,37665,56296,6791,22097,34863
Franklin,2526,25767,5967,2526,22431,21167,21580,23371,57234,54604,97140,9535,43324,57273,6474,27784,24692
Lyons,1430,22402,3503,1430,20905,19399,24973,24748,56733,56331,102497,3808,47197,54799,8898,30610,12066
Lingiari,2931,23237,7181,2931,33432,25751,20500,9793,59140,61863,61412,46293,52270,43445,13014,24054,13625
Solomon,4449,29864,9717,4449,30493,24730,18236,10976,55222,55064,70784,29619,41247,45307,9890,24956,25601
Bean,8337,41653,17452,8337,34311,31899,27785,24435,77528,75080,116516,30360,65794,64152,6886,33323,44302
Canberra,13594,37682,18686,13594,47318,28736,23006,21885,74059,71449,105717,32031,47855,73716,8963,19235,65988
Fenner,7209,42578,16933,7209,42303,38349,22054,16427,79572,78697,102568,49988,60571,63448,6739,31373,49475
